 sentlen, percentcorrect_spacy, percentcorrect_stanza
1,0.043010752688172046,0.021505376344086023
2,0.05325443786982249,0.05128205128205128
3,0.09090909090909091,0.06951871657754011
4,0.11764705882352941,0.11274509803921569
5,0.17261904761904762,0.1884920634920635
6,0.19597069597069597,0.22527472527472528
7,0.21311475409836064,0.25355191256830606
8,0.2910958904109589,0.3304794520547945
9,0.33835005574136007,0.3712374581939799
10,0.3480576441102757,0.3865914786967418
11,0.36586586586586584,0.41866866866866864
12,0.35714285714285715,0.38425925925925924
13,0.4243772241992883,0.4739027283511269
14,0.4596692111959288,0.5009541984732826
15,0.4741666666666666,0.5458928571428571
16,0.4651633986928105,0.5194117647058824
17,0.5531567683253077,0.5750222935616195
18,0.5934523809523811,0.6497354497354497
19,0.5377272727272728,0.584469696969697
20,0.5839477726574501,0.6377112135176651
21,0.5841346153846154,0.630849358974359
22,0.7096774193548387,0.6957885304659499
23,0.6073883161512028,0.6669243986254295
24,0.585897435897436,0.6032051282051283
25,0.6652083333333334,0.6937500000000001
26,0.6389374797538063,0.7043569808875931
27,0.6519540229885057,0.7120689655172413
28,0.6513902763902765,0.6855311355311355
29,0.6537202380952382,0.7339285714285715
30,0.7428571428571427,0.7623766623766622
31,0.641256830601093,0.6995901639344261
32,0.6816666666666665,0.7373333333333332
33,0.7290225563909773,0.7327067669172933
34,0.7307430664573521,0.7622710622710622
35,0.749075577200577,0.7624594155844154
36,0.7426116838487975,0.7683848797250861
37,0.8113970588235295,0.8403186274509804
38,0.6802197802197802,0.7249542124542125
39,0.787665343915344,0.8331018518518519
40,0.6805114638447973,0.7327160493827161
41,0.7309704184704184,0.7523629148629148
42,0.7301192993053458,0.7690274841437632
43,0.7677210884353742,0.8481972789115647
44,0.7291299235743681,0.8157701352145798
45,0.7204059829059829,0.7636752136752136
46,0.7274774774774775,0.7477682227682226
47,0.7509672619047618,0.6921130952380953
48,0.7556818181818182,0.8030573593073594
49,0.8055555555555555,0.8592592592592594
50,0.6043083900226758,0.7047619047619048
51,0.7747519841269841,0.8729166666666667
52,0.8420634920634921,0.8463718820861679
53,0.7587301587301588,0.8206349206349207
54,0.7346230158730158,0.8017857142857142
55,0.7708333333333334,0.9791666666666667
56,0.7715854978354979,0.822857142857143
57,0.8055555555555555,0.9166666666666666
58,0.7666666666666666,0.8444444444444444
59,0.8296296296296296,0.8074074074074074
60,0.8611111111111112,0.9166666666666666
61,0.675925925925926,0.675925925925926
62,0.8523809523809524,0.8583333333333334
63,0.8571428571428571,1.0
64,0.7857142857142858,0.9107142857142858
65,0.6428571428571429,0.7976190476190477
66,1.0,1.0
67,0.79375,0.875
68,0.8392857142857143,0.875
69,0.75,0.875
70,0.7625,0.90625
71,0.8222222222222223,0.9629629629629629
72,1.0,1.0
73,1.0,1.0
74,0.775,0.8958333333333334
75,0.6666666666666666,0.6666666666666666
76,0.8214285714285715,0.9523809523809524
78,1.0,1.0
79,0.9409722222222222,0.96875
80,1.0,1.0
81,0.6666666666666666,0.6666666666666666
82,0.3333333333333333,0.5
83,0.9411764705882353,0.8529411764705883
84,1.0,0.9444444444444444
86,0.8201058201058201,0.9047619047619048
87,1.0,1.0
88,0.0,0.0
89,0.8,0.9
94,0.0,0.0
98,0.0,0.0
100,1.0,1.0
102,0.9,0.9
104,0.0,0.5
108,0.8125,0.875
115,1.0,1.0
151,0.4,0.4
