sentid, sentlen, numents, percentcorrect_spacy, percentcorrect_stanza
275,2,0,0,0
276,2,0,0,0
277,43,3,0.6666666666666666,1.0
278,2,0,0,0
279,14,0,0,0
280,19,0,0,0
281,12,0,0,0
282,13,0,0,0
283,33,0,0,0
284,14,0,0,0
285,5,0,0,0
286,31,0,0,0
287,2,0,0,0
288,2,0,0,0
289,67,5,0.8,1.0
290,2,0,0,0
291,18,0,0,0
292,21,1,0.0,1.0
293,2,0,0,0
294,13,0,0,0
295,21,2,1.0,1.0
296,23,2,0.5,1.0
297,33,1,1.0,1.0
298,8,1,1.0,1.0
299,24,2,0.0,0.0
300,13,0,0,0
301,14,0,0,0
302,10,0,0,0
303,13,0,0,0
304,10,0,0,0
305,9,0,0,0
306,41,1,1.0,1.0
307,48,1,1.0,1.0
308,28,0,0,0
309,2,0,0,0
310,13,0,0,0
311,35,1,1.0,1.0
312,12,0,0,0
313,16,1,1.0,1.0
314,21,0,0,0
315,5,0,0,0
316,11,0,0,0
317,2,0,0,0
318,45,0,0,0
319,2,0,0,0
320,17,0,0,0
321,2,0,0,0
322,28,0,0,0
323,2,0,0,0
324,46,0,0,0
325,25,0,0,0
326,15,0,0,0
327,33,0,0,0
328,11,0,0,0
329,20,0,0,0
330,59,0,0,0
331,34,0,0,0
332,23,1,1.0,1.0
333,10,0,0,0
334,44,1,1.0,1.0
335,19,0,0,0
336,22,0,0,0
337,10,0,0,0
338,10,0,0,0
339,2,0,0,0
340,20,0,0,0
341,36,0,0,0
342,36,0,0,0
343,24,0,0,0
344,52,0,0,0
345,8,0,0,0
346,13,0,0,0
347,31,0,0,0
348,15,0,0,0
349,31,0,0,0
350,18,3,0.3333333333333333,0.3333333333333333
351,2,0,0,0
352,26,2,1.0,1.0
353,25,1,1.0,1.0
354,2,0,0,0
355,30,1,0.0,1.0
356,19,0,0,0
357,24,0,0,0
358,16,1,1.0,1.0
359,14,0,0,0
360,15,0,0,0
361,27,0,0,0
362,2,0,0,0
363,16,0,0,0
364,12,0,0,0
365,6,0,0,0
366,25,0,0,0
367,13,0,0,0
368,15,0,0,0
369,9,0,0,0
370,11,0,0,0
371,23,0,0,0
372,13,0,0,0
373,2,0,0,0
374,10,0,0,0
375,8,0,0,0
376,12,0,0,0
377,23,0,0,0
378,2,0,0,0
379,13,0,0,0
380,5,0,0,0
381,29,0,0,0
382,25,0,0,0
383,11,0,0,0
384,11,0,0,0
385,10,0,0,0
386,10,0,0,0
387,10,0,0,0
388,32,2,0.0,1.0
389,30,0,0,0
390,24,2,0.5,1.0
391,7,0,0,0
392,16,2,1.0,1.0
393,5,0,0,0
394,8,1,0.0,0.0
395,2,0,0,0
396,9,0,0,0
397,15,1,0.0,1.0
398,29,1,1.0,1.0
399,27,3,1.0,1.0
400,24,3,0.6666666666666666,0.6666666666666666
401,28,3,0.6666666666666666,0.6666666666666666
402,21,3,0.6666666666666666,0.6666666666666666
403,26,3,0.3333333333333333,0.3333333333333333
404,15,1,1.0,1.0
405,21,1,1.0,1.0
406,21,4,0.25,0.5
407,11,0,0,0
408,17,3,1.0,1.0
409,14,3,1.0,1.0
410,18,3,1.0,1.0
411,18,3,1.0,1.0
412,15,3,1.0,1.0
413,11,2,1.0,1.0
414,10,3,1.0,1.0
415,12,3,1.0,1.0
416,14,3,1.0,1.0
417,15,3,1.0,1.0
418,16,3,1.0,1.0
419,9,3,1.0,1.0
420,10,3,1.0,1.0
421,18,3,1.0,1.0
422,9,3,1.0,1.0
423,13,3,1.0,1.0
424,14,3,1.0,1.0
425,9,3,1.0,1.0
426,13,3,1.0,1.0
427,11,3,1.0,1.0
428,10,3,1.0,1.0
429,9,3,1.0,1.0
430,2,0,0,0
431,19,0,0,0
432,8,0,0,0
433,11,0,0,0
434,14,0,0,0
435,26,3,0.6666666666666666,1.0
436,12,0,0,0
437,22,0,0,0
438,15,0,0,0
439,8,0,0,0
440,2,0,0,0
441,22,2,1.0,1.0
442,35,0,0,0
443,30,4,1.0,0.75
444,44,6,1.0,1.0
445,22,1,1.0,1.0
446,43,1,1.0,1.0
447,14,0,0,0
448,25,0,0,0
449,17,0,0,0
450,33,0,0,0
451,17,1,1.0,1.0
452,9,0,0,0
453,27,1,1.0,1.0
454,19,1,1.0,1.0
455,9,1,1.0,1.0
456,8,0,0,0
457,39,2,0.5,0.5
458,13,0,0,0
459,14,1,0.0,1.0
460,5,0,0,0
461,17,1,0.0,1.0
462,15,1,0.0,0.0
463,11,0,0,0
464,12,0,0,0
465,64,2,1.0,1.0
466,48,4,0.75,0.75
467,28,0,0,0
468,11,0,0,0
469,18,0,0,0
470,18,0,0,0
471,12,0,0,0
472,17,0,0,0
473,14,1,0.0,0.0
474,12,0,0,0
475,28,0,0,0
476,11,1,1.0,1.0
477,20,0,0,0
478,35,1,1.0,1.0
479,4,0,0,0
480,12,0,0,0
481,11,1,0.0,1.0
482,7,0,0,0
483,11,0,0,0
484,11,0,0,0
485,15,1,0.0,1.0
486,7,1,1.0,1.0
487,23,0,0,0
488,21,0,0,0
489,31,0,0,0
490,6,0,0,0
491,24,0,0,0
492,7,0,0,0
493,20,0,0,0
494,15,0,0,0
495,18,0,0,0
496,26,1,0.0,1.0
497,20,0,0,0
498,33,0,0,0
499,16,0,0,0
500,5,0,0,0
501,12,0,0,0
502,4,0,0,0
503,16,0,0,0
504,28,0,0,0
505,8,0,0,0
506,11,0,0,0
507,18,1,1.0,1.0
508,11,0,0,0
509,6,0,0,0
510,18,0,0,0
511,24,0,0,0
512,7,0,0,0
513,17,0,0,0
514,34,0,0,0
515,20,0,0,0
516,16,0,0,0
517,28,0,0,0
518,9,1,1.0,1.0
519,8,0,0,0
520,48,1,0.0,1.0
521,31,0,0,0
522,20,0,0,0
523,16,0,0,0
524,23,0,0,0
525,21,0,0,0
526,11,0,0,0
527,24,0,0,0
528,15,2,0.5,1.0
529,13,0,0,0
530,15,0,0,0
531,13,0,0,0
532,9,1,0.0,1.0
533,15,2,0.5,0.5
534,19,0,0,0
535,31,0,0,0
536,11,0,0,0
537,29,0,0,0
538,24,1,1.0,1.0
539,28,1,0.0,1.0
540,8,0,0,0
541,20,1,1.0,1.0
542,10,0,0,0
543,18,0,0,0
544,22,0,0,0
545,26,0,0,0
546,21,0,0,0
547,10,0,0,0
548,20,0,0,0
549,11,0,0,0
550,21,0,0,0
551,8,0,0,0
552,8,0,0,0
553,14,2,0.0,1.0
554,31,0,0,0
555,9,0,0,0
556,9,0,0,0
557,7,0,0,0
558,8,0,0,0
559,22,0,0,0
560,16,0,0,0
561,13,0,0,0
562,10,0,0,0
563,13,0,0,0
564,24,0,0,0
565,10,0,0,0
566,18,0,0,0
567,8,0,0,0
568,2,0,0,0
569,14,1,0.0,0.0
570,22,2,1.0,1.0
571,15,1,1.0,1.0
572,15,0,0,0
573,31,1,0.0,1.0
574,5,0,0,0
575,8,0,0,0
576,28,4,0.5,0.75
577,15,1,1.0,1.0
578,7,0,0,0
579,13,2,1.0,1.0
580,19,0,0,0
581,6,0,0,0
582,19,0,0,0
583,13,0,0,0
584,3,0,0,0
585,5,0,0,0
586,19,0,0,0
587,11,0,0,0
588,6,0,0,0
589,10,0,0,0
590,8,1,1.0,1.0
591,21,1,0.0,1.0
592,10,1,0.0,0.0
593,23,1,1.0,1.0
594,12,0,0,0
595,8,0,0,0
596,6,0,0,0
597,6,0,0,0
598,9,0,0,0
599,11,1,1.0,1.0
600,13,0,0,0
601,14,0,0,0
602,13,0,0,0
603,29,0,0,0
604,37,0,0,0
605,18,1,1.0,1.0
606,11,1,1.0,1.0
607,14,1,1.0,1.0
608,17,0,0,0
609,27,0,0,0
610,45,2,0.5,1.0
611,9,1,1.0,1.0
612,13,1,1.0,1.0
613,22,1,1.0,1.0
614,15,0,0,0
615,39,1,1.0,1.0
616,19,1,1.0,1.0
617,10,0,0,0
618,18,1,1.0,1.0
619,18,0,0,0
620,21,0,0,0
621,10,0,0,0
622,9,0,0,0
623,19,0,0,0
624,17,0,0,0
625,15,2,1.0,1.0
626,13,0,0,0
627,20,0,0,0
628,22,1,0.0,1.0
629,14,0,0,0
630,16,1,1.0,1.0
631,19,0,0,0
632,13,0,0,0
633,15,0,0,0
634,12,0,0,0
